Genome,preVC,VC Status,VC,VC Size,Quality,Adjusted P-value,VC Avg Distance,Topology Confidence Score,Genus Confidence Score
annotate_busby_phage_161,preVC_10,Clustered,VC_10_0,6,0.104,0.99726408,4.903678736670721,0.1037,1.0
annotate_busby_phage_162,,Outlier,,,,,,,
annotate_busby_phage_163,preVC_22,Clustered,VC_22_0,6,0.3762,1.0,6.768330055411917,0.3762,1.0
annotate_busby_phage_164,,Singleton,,,,,,,
annotate_busby_phage_165,preVC_65,Clustered,VC_65_0,4,0.612,0.99943881,7.668133350247225,0.6117,0.6667
annotate_busby_phage_166,,Singleton,,,,,,,
annotate_busby_phage_167,,Outlier,,,,,,,
annotate_busby_phage_168,,Outlier,,,,,,,
annotate_busby_phage_169,preVC_66,Clustered,VC_66_0,3,0.2507,0.68963819,5.1630417643586854,0.1729,1.0
annotate_busby_phage_17,,Singleton,,,,,,,
annotate_busby_phage_170,preVC_69,Clustered,VC_69_0,2,0.24,0.72090768,7.483314773547883,0.173,1.0
annotate_busby_phage_171,,Outlier,,,,,,,
annotate_busby_phage_172,preVC_72,Clustered,VC_72_0,2,0.1433,0.6381632,2.449489742783178,0.0914,1.0
annotate_busby_phage_173,,Outlier,,,,,,,
annotate_busby_phage_174,,Outlier,,,,,,,
annotate_busby_phage_175,preVC_12,Clustered,VC_12_0,2,0.0793,0.94940611,3.4641016151377544,0.0753,1.0
annotate_busby_phage_176,,Outlier,,,,,,,
annotate_busby_phage_177,,Outlier,,,,,,,
annotate_busby_phage_178,,Outlier,,,,,,,
annotate_busby_phage_179,preVC_80,Clustered,VC_80_0,2,0.0475,0.64687202,7.211102550927978,0.0307,1.0
annotate_busby_phage_18,preVC_82,Clustered,VC_82_0,2,0.4065,0.85557782,0.0,0.3478,1.0
annotate_busby_phage_180,,Singleton,,,,,,,
annotate_busby_phage_181,,Outlier,,,,,,,
annotate_busby_phage_182,preVC_37,Clustered,VC_37_0,2,0.0164,0.66752003,6.48074069840786,0.011,1.0
annotate_busby_phage_183,,Outlier,,,,,,,
annotate_busby_phage_184,preVC_84,Clustered,VC_84_0,2,0.4065,0.81445332,2.6457513110645907,0.3311,1.0
annotate_busby_phage_185,,Outlier,,,,,,,
annotate_busby_phage_186,,Outlier,,,,,,,
annotate_busby_phage_187,preVC_41,Clustered,VC_41_0,10,0.1377,0.9999991,3.40334469210856,0.1377,1.0
annotate_busby_phage_188,,Outlier,,,,,,,
annotate_busby_phage_189,,Outlier,,,,,,,
annotate_busby_phage_19,preVC_86,Clustered,VC_86_0,2,1.0,1.0,0.0,1.0,1.0
annotate_busby_phage_190,,Outlier,,,,,,,
annotate_busby_phage_191,,Outlier,,,,,,,
annotate_busby_phage_192,preVC_72,Clustered,VC_72_0,2,0.1433,0.6381632,2.449489742783178,0.0914,1.0
annotate_busby_phage_193,preVC_71,Clustered,VC_71_0,3,0.3129,0.99796312,7.577591212031479,0.3123,1.0
annotate_busby_phage_194,,Singleton,,,,,,,
annotate_busby_phage_195,preVC_94,Clustered,VC_94_0,2,0.0387,0.93881046,1.0,0.0363,1.0
annotate_busby_phage_196,,Outlier,,,,,,,
annotate_busby_phage_197,,Outlier,,,,,,,
annotate_busby_phage_198,preVC_97,Clustered,VC_97_0,2,0.0941,0.66873971,2.6457513110645907,0.0629,1.0
annotate_busby_phage_199,preVC_99,Clustered,VC_99_0,4,0.1302,0.74155286,2.7444844770750563,0.0965,1.0
annotate_busby_phage_2,,Singleton,,,,,,,
annotate_busby_phage_20,,Outlier,,,,,,,
annotate_busby_phage_200,preVC_100,Clustered,VC_100_0,3,0.0895,0.90686532,4.5865171762458266,0.0812,1.0
annotate_busby_phage_201,,Overlap (VC_39/VC_99),,,,,,,
annotate_busby_phage_202,preVC_100,Clustered,VC_100_0,3,0.0895,0.90686532,4.5865171762458266,0.0812,1.0
annotate_busby_phage_203,,Outlier,,,,,,,
annotate_busby_phage_204,preVC_76,Clustered,VC_76_0,2,0.0365,0.64486458,2.0,0.0235,1.0
annotate_busby_phage_205,preVC_91,Clustered,VC_91_0,3,0.0949,0.83541326,1.7941107824805875,0.0793,1.0
annotate_busby_phage_206,,Outlier,,,,,,,
annotate_busby_phage_207,preVC_85,Clustered,VC_85_0,8,0.7765,0.99998805,4.607981929641346,0.7765,1.0
annotate_busby_phage_208,preVC_105,Clustered,VC_105_0,2,0.8976,0.81445332,2.449489742783178,0.7311,1.0
annotate_busby_phage_209,,Outlier,,,,,,,
annotate_busby_phage_21,,Outlier,,,,,,,
annotate_busby_phage_210,,Overlap (VC_43/VC_48),,,,,,,
annotate_busby_phage_211,preVC_44,Clustered,VC_44_0,2,0.0451,0.8335392,3.872983346207417,0.0376,1.0
annotate_busby_phage_212,preVC_12,Clustered,VC_12_0,2,0.0793,0.94940611,3.4641016151377544,0.0753,1.0
annotate_busby_phage_213,preVC_41,Clustered,VC_41_0,10,0.1377,0.9999991,3.40334469210856,0.1377,1.0
annotate_busby_phage_214,preVC_10,Clustered,VC_10_0,6,0.104,0.99726408,4.903678736670721,0.1037,1.0
annotate_busby_phage_215,,Singleton,,,,,,,
annotate_busby_phage_216,,Outlier,,,,,,,
annotate_busby_phage_217,,Outlier,,,,,,,
annotate_busby_phage_218,,Outlier,,,,,,,
annotate_busby_phage_219,preVC_15,Clustered,VC_15_0,4,0.0724,0.93190548,3.1160639875277583,0.0675,1.0
annotate_busby_phage_22,,Overlap (VC_37/VC_248),,,,,,,
annotate_busby_phage_220,,Outlier,,,,,,,
annotate_busby_phage_221,,Outlier,,,,,,,
annotate_busby_phage_222,,Singleton,,,,,,,
annotate_busby_phage_223,,Outlier,,,,,,,
annotate_busby_phage_224,,Singleton,,,,,,,
annotate_busby_phage_225,,Outlier,,,,,,,
annotate_busby_phage_226,,Outlier,,,,,,,
annotate_busby_phage_227,,Singleton,,,,,,,
annotate_busby_phage_228,,Outlier,,,,,,,
annotate_busby_phage_229,,Outlier,,,,,,,
annotate_busby_phage_23,preVC_111,Clustered,VC_111_0,2,0.4407,0.85557782,0.0,0.377,1.0
annotate_busby_phage_230,,Outlier,,,,,,,
annotate_busby_phage_231,,Outlier,,,,,,,
annotate_busby_phage_232,,Outlier,,,,,,,
annotate_busby_phage_233,preVC_114,Clustered,VC_114_0,2,0.0292,0.85384447,5.656854249492381,0.0249,1.0
annotate_busby_phage_234,,Outlier,,,,,,,
annotate_busby_phage_235,,Outlier,,,,,,,
annotate_busby_phage_236,,Outlier,,,,,,,
annotate_busby_phage_237,,Outlier,,,,,,,
annotate_busby_phage_238,,Outlier,,,,,,,
annotate_busby_phage_239,,Outlier,,,,,,,
annotate_busby_phage_24,,Singleton,,,,,,,
annotate_busby_phage_240,,Outlier,,,,,,,
annotate_busby_phage_241,,Outlier,,,,,,,
annotate_busby_phage_242,preVC_15,Clustered,VC_15_0,4,0.0724,0.93190548,3.1160639875277583,0.0675,1.0
annotate_busby_phage_243,,Outlier,,,,,,,
annotate_busby_phage_244,preVC_15,Clustered,VC_15_0,4,0.0724,0.93190548,3.1160639875277583,0.0675,1.0
annotate_busby_phage_245,,Outlier,,,,,,,
annotate_busby_phage_246,,Outlier,,,,,,,
annotate_busby_phage_247,preVC_118,Clustered,VC_118_0,2,0.0717,0.9462552,1.0,0.0679,1.0
annotate_busby_phage_248,,Outlier,,,,,,,
annotate_busby_phage_249,,Outlier,,,,,,,
annotate_busby_phage_25,,Singleton,,,,,,,
annotate_busby_phage_250,,Overlap (VC_11/VC_15),,,,,,,
annotate_busby_phage_251,preVC_42,Clustered,VC_42_0,3,0.091,0.89868354,3.9911798921740114,0.0818,1.0
annotate_busby_phage_252,,Overlap (VC_38/VC_46/VC_47),,,,,,,
annotate_busby_phage_253,preVC_85,Clustered,VC_85_0,8,0.7765,0.99998805,4.607981929641346,0.7765,1.0
annotate_busby_phage_254,preVC_10,Clustered,VC_10_0,6,0.104,0.99726408,4.903678736670721,0.1037,1.0
annotate_busby_phage_255,,Outlier,,,,,,,
annotate_busby_phage_256,,Outlier,,,,,,,
annotate_busby_phage_257,,Outlier,,,,,,,
annotate_busby_phage_258,preVC_121,Clustered,VC_121_0,9,0.8128,0.99999991,5.388089680141375,0.8128,1.0
annotate_busby_phage_259,,Singleton,,,,,,,
annotate_busby_phage_26,,Singleton,,,,,,,
annotate_busby_phage_260,preVC_121,Clustered,VC_121_0,9,0.8128,0.99999991,5.388089680141375,0.8128,1.0
annotate_busby_phage_261,preVC_21,Clustered,VC_21_0,5,0.1309,0.89435457,4.185442445238935,0.1171,1.0
annotate_busby_phage_262,preVC_21,Clustered,VC_21_0,5,0.1309,0.89435457,4.185442445238935,0.1171,1.0
annotate_busby_phage_263,preVC_94,Clustered,VC_94_0,2,0.0387,0.93881046,1.0,0.0363,1.0
annotate_busby_phage_264,,Outlier,,,,,,,
annotate_busby_phage_265,preVC_13,Clustered,VC_13_0,32,0.7229,1.0,7.066655678565837,0.7229,0.8972
annotate_busby_phage_266,,Outlier,,,,,,,
annotate_busby_phage_267,,Outlier,,,,,,,
annotate_busby_phage_268,,Overlap (VC_114/VC_115),,,,,,,
annotate_busby_phage_269,preVC_125,Clustered,VC_125_0,2,0.8386,0.5,4.47213595499958,0.4193,1.0
annotate_busby_phage_27,,Outlier,,,,,,,
annotate_busby_phage_270,preVC_126,Clustered,VC_126_0,4,0.1739,0.9703306,4.385851352394948,0.1687,1.0
annotate_busby_phage_271,preVC_29,Clustered,VC_29_0,3,0.0751,0.56822344,3.7469976305606103,0.0427,1.0
annotate_busby_phage_272,,Outlier,,,,,,,
annotate_busby_phage_273,,Outlier,,,,,,,
annotate_busby_phage_274,preVC_29,Clustered,VC_29_0,3,0.0751,0.56822344,3.7469976305606103,0.0427,1.0
annotate_busby_phage_275,,Outlier,,,,,,,
annotate_busby_phage_276,,Outlier,,,,,,,
annotate_busby_phage_277,preVC_41,Clustered,VC_41_0,10,0.1377,0.9999991,3.40334469210856,0.1377,1.0
annotate_busby_phage_278,,Outlier,,,,,,,
annotate_busby_phage_279,,Outlier,,,,,,,
annotate_busby_phage_28,preVC_25,Clustered,VC_25_0,2,0.0575,0.94752471,1.7320508075688772,0.0544,1.0
annotate_busby_phage_280,,Outlier,,,,,,,
annotate_busby_phage_281,,Overlap (VC_115/VC_116),,,,,,,
annotate_busby_phage_282,,Singleton,,,,,,,
annotate_busby_phage_283,,Singleton,,,,,,,
annotate_busby_phage_284,preVC_115,Clustered,VC_115_0,2,0.0448,0.65575013,2.23606797749979,0.0294,1.0
annotate_busby_phage_285,preVC_26,Clustered,VC_26_0,11,0.4415,1.0,3.864614140598421,0.4415,1.0
annotate_busby_phage_286,preVC_13,Clustered,VC_13_0,32,0.7229,1.0,7.066655678565837,0.7229,0.8972
annotate_busby_phage_287,preVC_120,Clustered,VC_120_0,5,0.0861,0.96445707,2.0040599658251996,0.083,1.0
annotate_busby_phage_288,preVC_6,Clustered,VC_6_0,6,0.1554,0.98932359,3.2755527029401295,0.1538,1.0
annotate_busby_phage_289,preVC_41,Clustered,VC_41_0,10,0.1377,0.9999991,3.40334469210856,0.1377,1.0
annotate_busby_phage_29,,Singleton,,,,,,,
annotate_busby_phage_290,preVC_41,Clustered,VC_41_0,10,0.1377,0.9999991,3.40334469210856,0.1377,1.0
annotate_busby_phage_291,preVC_41,Clustered,VC_41_0,10,0.1377,0.9999991,3.40334469210856,0.1377,1.0
annotate_busby_phage_292,,Outlier,,,,,,,
annotate_busby_phage_293,preVC_121,Clustered,VC_121_0,9,0.8128,0.99999991,5.388089680141375,0.8128,1.0
annotate_busby_phage_294,,Outlier,,,,,,,
annotate_busby_phage_295,,Singleton,,,,,,,
annotate_busby_phage_296,preVC_43,Clustered,VC_43_0,2,0.1274,0.95047618,0.0,0.1211,1.0
annotate_busby_phage_297,preVC_43,Clustered,VC_43_0,2,0.1274,0.95047618,0.0,0.1211,1.0
annotate_busby_phage_298,,Outlier,,,,,,,
annotate_busby_phage_299,preVC_16,Clustered,VC_16_0,3,0.0736,0.78117736,3.25020106352186,0.0575,1.0
annotate_busby_phage_3,,Singleton,,,,,,,
annotate_busby_phage_30,,Singleton,,,,,,,
annotate_busby_phage_300,,Outlier,,,,,,,
annotate_busby_phage_301,,Outlier,,,,,,,
annotate_busby_phage_302,preVC_91,Clustered,VC_91_0,3,0.0949,0.83541326,1.7941107824805875,0.0793,1.0
annotate_busby_phage_303,,Outlier,,,,,,,
annotate_busby_phage_304,preVC_96,Clustered,VC_96_0,5,0.0669,0.94082173,2.1212172533505806,0.063,1.0
annotate_busby_phage_305,,Outlier,,,,,,,
annotate_busby_phage_306,preVC_79,Clustered,VC_79_0,4,0.6875,0.99985365,3.8186609760359804,0.6874,1.0
annotate_busby_phage_307,,Outlier,,,,,,,
annotate_busby_phage_308,,Outlier,,,,,,,
annotate_busby_phage_309,,Outlier,,,,,,,
annotate_busby_phage_31,preVC_128,Clustered,VC_128_0,2,0.2122,0.94273135,0.0,0.2001,1.0
annotate_busby_phage_310,,Outlier,,,,,,,
annotate_busby_phage_311,preVC_118,Clustered,VC_118_0,2,0.0717,0.9462552,1.0,0.0679,1.0
annotate_busby_phage_312,,Outlier,,,,,,,
annotate_busby_phage_313,preVC_130,Clustered,VC_130_0,15,0.6538,1.0,4.895101125444098,0.6538,1.0
annotate_busby_phage_314,,Singleton,,,,,,,
annotate_busby_phage_315,,Outlier,,,,,,,
annotate_busby_phage_316,,Outlier,,,,,,,
annotate_busby_phage_317,preVC_35,Clustered,VC_35_0,14,0.5987,1.0,6.535708325596691,0.5987,0.956
annotate_busby_phage_318,,Outlier,,,,,,,
annotate_busby_phage_319,preVC_134,Clustered,VC_134_0,4,0.4671,0.99995296,4.354347832071694,0.4671,1.0
annotate_busby_phage_32,,Singleton,,,,,,,
annotate_busby_phage_320,preVC_124,Clustered,VC_124_0,3,0.5031,0.98626568,4.903970435470778,0.4962,1.0
annotate_busby_phage_321,,Singleton,,,,,,,
annotate_busby_phage_322,,Singleton,,,,,,,
annotate_busby_phage_323,,Outlier,,,,,,,
annotate_busby_phage_324,preVC_136,Clustered,VC_136_0,2,0.7163,0.5,1.0,0.3581,1.0
annotate_busby_phage_325,preVC_137,Clustered,VC_137_0,2,0.0834,0.76252073,1.4142135623730951,0.0636,1.0
annotate_busby_phage_326,preVC_138,Clustered,VC_138_0,11,0.7012,1.0,4.828349979993908,0.7012,1.0
annotate_busby_phage_327,,Outlier,,,,,,,
annotate_busby_phage_328,preVC_125,Clustered,VC_125_0,2,0.8386,0.5,4.47213595499958,0.4193,1.0
annotate_busby_phage_329,,Outlier,,,,,,,
annotate_busby_phage_33,,Outlier,,,,,,,
annotate_busby_phage_330,,Outlier,,,,,,,
annotate_busby_phage_331,,Outlier,,,,,,,
annotate_busby_phage_332,,Outlier,,,,,,,
annotate_busby_phage_333,preVC_88,Clustered,VC_88_0,2,0.0233,0.83920341,2.8284271247461903,0.0196,1.0
annotate_busby_phage_334,,Outlier,,,,,,,
annotate_busby_phage_335,preVC_140,Clustered,VC_140_0,5,0.3589,0.99772368,1.444948974278318,0.3581,1.0
annotate_busby_phage_336,,Outlier,,,,,,,
annotate_busby_phage_337,,Singleton,,,,,,,
annotate_busby_phage_338,preVC_141,Clustered,VC_141_0,2,0.3028,0.5,2.449489742783178,0.1514,1.0
annotate_busby_phage_339,,Outlier,,,,,,,
annotate_busby_phage_34,,Outlier,,,,,,,
annotate_busby_phage_340,preVC_133,Clustered,VC_133_0,3,0.1486,0.52511439,2.2939397628547935,0.0781,1.0
annotate_busby_phage_341,preVC_133,Clustered,VC_133_0,3,0.1486,0.52511439,2.2939397628547935,0.0781,1.0
annotate_busby_phage_342,,Outlier,,,,,,,
annotate_busby_phage_343,preVC_135,Clustered,VC_135_0,2,0.1526,0.59870633,2.23606797749979,0.0914,1.0
annotate_busby_phage_344,,Outlier,,,,,,,
annotate_busby_phage_345,,Outlier,,,,,,,
annotate_busby_phage_346,,Overlap (VC_114/VC_115),,,,,,,
annotate_busby_phage_347,,Outlier,,,,,,,
annotate_busby_phage_348,,Outlier,,,,,,,
annotate_busby_phage_349,preVC_121,Clustered,VC_121_0,9,0.8128,0.99999991,5.388089680141375,0.8128,1.0
annotate_busby_phage_35,preVC_143,Clustered,VC_143_0,2,1.0,1.0,0.0,1.0,1.0
annotate_busby_phage_350,preVC_121,Clustered,VC_121_0,9,0.8128,0.99999991,5.388089680141375,0.8128,1.0
annotate_busby_phage_351,preVC_84,Clustered,VC_84_0,2,0.4065,0.81445332,2.6457513110645907,0.3311,1.0
annotate_busby_phage_352,,Outlier,,,,,,,
annotate_busby_phage_353,preVC_8,Clustered,VC_8_0,3,0.7264,0.8335392,1.6094757082487299,0.6055,1.0
annotate_busby_phage_354,,Outlier,,,,,,,
annotate_busby_phage_355,,Outlier,,,,,,,
annotate_busby_phage_356,preVC_6,Clustered,VC_6_0,6,0.1554,0.98932359,3.2755527029401295,0.1538,1.0
annotate_busby_phage_357,,Outlier,,,,,,,
annotate_busby_phage_358,,Singleton,,,,,,,
annotate_busby_phage_359,preVC_66,Clustered,VC_66_0,3,0.2507,0.68963819,5.1630417643586854,0.1729,1.0
annotate_busby_phage_36,,Outlier,,,,,,,
annotate_busby_phage_360,preVC_66,Clustered,VC_66_0,3,0.2507,0.68963819,5.1630417643586854,0.1729,1.0
annotate_busby_phage_361,preVC_79,Clustered,VC_79_0,4,0.6875,0.99985365,3.8186609760359804,0.6874,1.0
annotate_busby_phage_362,,Outlier,,,,,,,
annotate_busby_phage_363,,Outlier,,,,,,,
annotate_busby_phage_364,preVC_145,Clustered,VC_145_0,3,1.0,1.0,2.2757639538055487,1.0,1.0
annotate_busby_phage_365,preVC_115,Clustered,VC_115_0,2,0.0448,0.65575013,2.23606797749979,0.0294,1.0
annotate_busby_phage_366,,Outlier,,,,,,,
annotate_busby_phage_367,,Singleton,,,,,,,
annotate_busby_phage_368,,Outlier,,,,,,,
annotate_busby_phage_369,,Outlier,,,,,,,
annotate_busby_phage_37,preVC_147,Clustered,VC_147_0,2,1.0,1.0,0.0,1.0,1.0
annotate_busby_phage_370,preVC_144,Clustered,VC_144_0,4,0.8187,0.69468524,1.9642215004898382,0.5688,1.0
annotate_busby_phage_371,,Overlap (VC_81/VC_82),,,,,,,
annotate_busby_phage_372,,Outlier,,,,,,,
annotate_busby_phage_373,,Outlier,,,,,,,
annotate_busby_phage_374,preVC_6,Clustered,VC_6_0,6,0.1554,0.98932359,3.2755527029401295,0.1538,1.0
annotate_busby_phage_375,,Outlier,,,,,,,
annotate_busby_phage_376,,Singleton,,,,,,,
annotate_busby_phage_377,,Singleton,,,,,,,
annotate_busby_phage_378,,Outlier,,,,,,,
annotate_busby_phage_379,,Singleton,,,,,,,
annotate_busby_phage_38,preVC_148,Clustered,VC_148_0,2,0.8183,0.86822376,0.0,0.7104,1.0
annotate_busby_phage_380,,Outlier,,,,,,,
annotate_busby_phage_381,preVC_149,Clustered,VC_149_0,9,0.9381,0.99999997,2.974899866179563,0.9381,1.0
annotate_busby_phage_382,preVC_85,Clustered,VC_85_0,8,0.7765,0.99998805,4.607981929641346,0.7765,1.0
annotate_busby_phage_383,,Outlier,,,,,,,
annotate_busby_phage_384,preVC_132,Clustered,VC_132_0,7,0.7654,0.99999898,4.434774906222757,0.7654,1.0
annotate_busby_phage_385,preVC_151,Clustered,VC_151_0,2,0.2373,0.91237788,1.4142135623730951,0.2165,1.0
annotate_busby_phage_386,,Outlier,,,,,,,
annotate_busby_phage_387,,Outlier,,,,,,,
annotate_busby_phage_388,preVC_10,Clustered,VC_10_0,6,0.104,0.99726408,4.903678736670721,0.1037,1.0
annotate_busby_phage_389,preVC_152,Clustered,VC_152_0,2,0.1827,0.93846104,1.7320508075688772,0.1715,1.0
annotate_busby_phage_39,preVC_154,Clustered,VC_154_0,2,0.4019,0.72985431,1.7320508075688772,0.2933,1.0
annotate_busby_phage_390,,Outlier,,,,,,,
annotate_busby_phage_391,,Outlier,,,,,,,
annotate_busby_phage_392,,Outlier,,,,,,,
annotate_busby_phage_393,preVC_153,Clustered,VC_153_0,9,0.6828,1.0,6.439889890781747,0.6828,1.0
annotate_busby_phage_394,,Outlier,,,,,,,
annotate_busby_phage_395,,Outlier,,,,,,,
annotate_busby_phage_396,preVC_0,Clustered,VC_0_0,2,0.188,0.92921057,1.4142135623730951,0.1747,1.0
annotate_busby_phage_397,preVC_155,Clustered,VC_155_0,2,1.0,1.0,0.0,1.0,1.0
annotate_busby_phage_398,,Outlier,,,,,,,
annotate_busby_phage_399,preVC_82,Clustered,VC_82_0,2,0.4065,0.85557782,0.0,0.3478,1.0
annotate_busby_phage_4,,Singleton,,,,,,,
annotate_busby_phage_40,,Singleton,,,,,,,
annotate_busby_phage_400,preVC_86,Clustered,VC_86_0,2,1.0,1.0,0.0,1.0,1.0
annotate_busby_phage_401,,Overlap (VC_37/VC_248),,,,,,,
annotate_busby_phage_402,preVC_111,Clustered,VC_111_0,2,0.4407,0.85557782,0.0,0.377,1.0
annotate_busby_phage_403,preVC_25,Clustered,VC_25_0,2,0.0575,0.94752471,1.7320508075688772,0.0544,1.0
annotate_busby_phage_404,preVC_128,Clustered,VC_128_0,2,0.2122,0.94273135,0.0,0.2001,1.0
annotate_busby_phage_405,,Outlier,,,,,,,
annotate_busby_phage_406,preVC_143,Clustered,VC_143_0,2,1.0,1.0,0.0,1.0,1.0
annotate_busby_phage_407,preVC_148,Clustered,VC_148_0,2,0.8183,0.86822376,0.0,0.7104,1.0
annotate_busby_phage_408,,Overlap (VC_62/VC_64),,,,,,,
annotate_busby_phage_409,preVC_48,Clustered,VC_48_0,2,0.6161,0.85557782,0.0,0.5272,1.0
annotate_busby_phage_41,,Overlap (VC_62/VC_64),,,,,,,
annotate_busby_phage_410,preVC_129,Clustered,VC_129_0,2,0.5859,0.9331928,0.0,0.5468,1.0
annotate_busby_phage_411,preVC_156,Clustered,VC_156_0,2,1.0,1.0,0.0,1.0,1.0
annotate_busby_phage_412,preVC_157,Clustered,VC_157_0,2,0.2046,0.9410422,0.0,0.1926,1.0
annotate_busby_phage_413,preVC_140,Clustered,VC_140_0,5,0.3589,0.99772368,1.444948974278318,0.3581,1.0
annotate_busby_phage_414,preVC_158,Clustered,VC_158_0,2,1.0,1.0,0.0,1.0,1.0
annotate_busby_phage_415,preVC_159,Clustered,VC_159_0,2,0.2449,0.89435023,1.0,0.219,1.0
annotate_busby_phage_416,preVC_144,Clustered,VC_144_0,4,0.8187,0.69468524,1.9642215004898382,0.5688,1.0
annotate_busby_phage_417,preVC_160,Clustered,VC_160_0,2,1.0,1.0,0.0,1.0,1.0
annotate_busby_phage_418,,Overlap (VC_11/VC_15),,,,,,,
annotate_busby_phage_419,,Singleton,,,,,,,
annotate_busby_phage_42,,Outlier,,,,,,,
annotate_busby_phage_420,,Singleton,,,,,,,
annotate_busby_phage_421,,Outlier,,,,,,,
annotate_busby_phage_422,preVC_2,Clustered,VC_2_0,2,1.0,1.0,0.0,1.0,1.0
annotate_busby_phage_423,preVC_3,Clustered,VC_3_0,2,0.1713,0.92499224,0.0,0.1584,1.0
annotate_busby_phage_424,preVC_5,Clustered,VC_5_0,2,1.0,1.0,0.0,1.0,1.0
annotate_busby_phage_425,,Outlier,,,,,,,
annotate_busby_phage_426,preVC_8,Clustered,VC_8_0,3,0.7264,0.8335392,1.6094757082487299,0.6055,1.0
annotate_busby_phage_427,,Singleton,,,,,,,
annotate_busby_phage_428,preVC_20,Clustered,VC_20_0,2,0.5938,0.72985431,0.0,0.4334,1.0
annotate_busby_phage_429,,Outlier,,,,,,,
annotate_busby_phage_43,preVC_48,Clustered,VC_48_0,2,0.6161,0.85557782,0.0,0.5272,1.0
