Source,Target,Weight,Study,host,Realm,Kingdom,Phylum,Class,Order,Family,VC,host_study
total_phage_106,busby_phage_118,3.49902598466562,sbardellati,NA,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,VC_9_0,NA_sbardellati
deboutte_phage_519,busby_phage_124,2.02319739057899,deboutte,NA,NA,NA,NA,NA,NA,NA,VC_10_0,NA_deboutte
deboutte_phage_467,busby_phage_125,3.71612316163757,deboutte,NA,NA,NA,NA,NA,NA,NA,VC_11_0,NA_deboutte
busby_phage_212,busby_phage_128,1.13766885674292,busby,NA,NA,NA,NA,NA,NA,NA,VC_12_0,NA_busby
busby_phage_186,busby_phage_13,3.54985939078152,busby,NA,NA,NA,NA,NA,NA,NA,,NA_busby
busby_phage_242,busby_phage_13,2.4667593342812,busby,NA,NA,NA,NA,NA,NA,NA,VC_15_0,NA_busby
busby_phage_257,busby_phage_13,1.11640552267675,busby,NA,NA,NA,NA,NA,NA,NA,,NA_busby
busby_phage_299,busby_phage_13,1.7893175857331,busby,NA,NA,NA,NA,NA,NA,NA,VC_16_0,NA_busby
busby_phage_347,busby_phage_13,2.75740759986572,busby,NA,NA,NA,NA,NA,NA,NA,,NA_busby
busby_phage_468,busby_phage_13,1.03881212491358,busby,NA,NA,NA,NA,NA,NA,NA,VC_17_0,NA_busby
busby_phage_469,busby_phage_13,2.88631451167767,busby,NA,NA,NA,NA,NA,NA,NA,,NA_busby
deboutte_phage_133,busby_phage_13,1.16675988079702,deboutte,NA,NA,NA,NA,NA,NA,NA,,NA_deboutte
deboutte_phage_480,busby_phage_13,1.16675988079702,deboutte,NA,NA,NA,NA,NA,NA,NA,,NA_deboutte
rosso_phage_182,busby_phage_13,2.0009353711954,bonilla-rosso,NA,NA,NA,NA,NA,NA,NA,,NA_bonilla-rosso
total_phage_188,busby_phage_13,7.07397690823668,sbardellati,NA,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,VC_18_0,NA_sbardellati
total_phage_415,busby_phage_13,2.34823999853376,sbardellati,Lactobacillus,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,VC_18_0,Lactobacillus_sbardellati
total_phage_416,busby_phage_13,2.84592292331809,sbardellati,NA,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,VC_13_0,NA_sbardellati
total_phage_692,busby_phage_13,2.61835150646386,sbardellati,NA,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,VC_19_0,NA_sbardellati
total_phage_737,busby_phage_13,2.691557571673,sbardellati,NA,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,VC_18_0,NA_sbardellati
total_phage_800,busby_phage_13,7.86483803664065,sbardellati,Lactobacillus,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,VC_18_0,Lactobacillus_sbardellati
busby_phage_428,busby_phage_132,7.6415833376815,busby,NA,NA,NA,NA,NA,NA,NA,VC_20_0,NA_busby
total_phage_664,busby_phage_132,2.85368442559839,sbardellati,Schmidhempelia,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,,Schmidhempelia_sbardellati
deboutte_phage_421,busby_phage_133,5.12386278376481,deboutte,NA,NA,NA,NA,NA,NA,NA,VC_22_0,NA_deboutte
rosso_phage_24,busby_phage_133,2.45556824873299,bonilla-rosso,NA,NA,NA,NA,NA,NA,NA,VC_22_0,NA_bonilla-rosso
total_phage_242,busby_phage_133,5.23912589651513,sbardellati,NA,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,,NA_sbardellati
total_phage_733,busby_phage_133,7.88909829397535,sbardellati,NA,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,,NA_sbardellati
total_phage_794,busby_phage_133,5.44601391312111,sbardellati,NA,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,,NA_sbardellati
busby_phage_28,busby_phage_134,6.23077961132768,busby,NA,NA,NA,NA,NA,NA,NA,VC_25_0,NA_busby
busby_phage_285,busby_phage_134,6.54906354010634,busby,NA,NA,NA,NA,NA,NA,NA,VC_26_0,NA_busby
busby_phage_403,busby_phage_134,5.89504537083859,busby,NA,NA,NA,NA,NA,NA,NA,VC_25_0,NA_busby
deboutte_phage_136,busby_phage_134,6.3294313521377,deboutte,NA,NA,NA,NA,NA,NA,NA,VC_26_0,NA_deboutte
deboutte_phage_151,busby_phage_134,6.24745099761344,deboutte,NA,NA,NA,NA,NA,NA,NA,VC_26_0,NA_deboutte
deboutte_phage_505,busby_phage_134,6.37161394191565,deboutte,NA,NA,NA,NA,NA,NA,NA,VC_26_0,NA_deboutte
rosso_phage_58,busby_phage_134,3.88193036852504,bonilla-rosso,NA,NA,NA,NA,NA,NA,NA,VC_26_0,NA_bonilla-rosso
rosso_phage_60,busby_phage_134,9.90062358211777,bonilla-rosso,NA,NA,NA,NA,NA,NA,NA,VC_26_0,NA_bonilla-rosso
rosso_phage_69,busby_phage_134,10.1784636556533,bonilla-rosso,NA,NA,NA,NA,NA,NA,NA,VC_26_0,NA_bonilla-rosso
virome_phage_110,busby_phage_134,6.84585234348709,sbardellati,Bifidobacterium,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,VC_26_0,Bifidobacterium_sbardellati
virome_phage_23,busby_phage_134,8.05408224097613,sbardellati,Bifidobacterium,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,VC_26_0,Bifidobacterium_sbardellati
virome_phage_2328,busby_phage_134,9.79729304798812,sbardellati,Bifidobacterium,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,VC_26_0,Bifidobacterium_sbardellati
virome_phage_2330,busby_phage_134,10.0082267563858,sbardellati,Bifidobacterium,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,VC_26_0,Bifidobacterium_sbardellati
busby_phage_429,busby_phage_138,7.38868298464152,busby,NA,NA,NA,NA,NA,NA,NA,,NA_busby
deboutte_phage_397,busby_phage_138,7.83337844535933,deboutte,NA,NA,NA,NA,NA,NA,NA,VC_27_0,NA_deboutte
deboutte_phage_74,busby_phage_138,9.17531894508458,deboutte,NA,NA,NA,NA,NA,NA,NA,,NA_deboutte
deboutte_phage_98,busby_phage_138,5.22629894890026,deboutte,NA,NA,NA,NA,NA,NA,NA,,NA_deboutte
rosso_phage_197,busby_phage_138,4.21774189515923,bonilla-rosso,NA,NA,NA,NA,NA,NA,NA,,NA_bonilla-rosso
rosso_phage_41,busby_phage_138,6.43347992058267,bonilla-rosso,NA,NA,NA,NA,NA,NA,NA,VC_27_0,NA_bonilla-rosso
rosso_phage_42,busby_phage_138,7.02094732334407,bonilla-rosso,NA,NA,NA,NA,NA,NA,NA,VC_27_0,NA_bonilla-rosso
rosso_phage_43,busby_phage_138,6.56598490881145,bonilla-rosso,NA,NA,NA,NA,NA,NA,NA,VC_27_0,NA_bonilla-rosso
rosso_phage_44,busby_phage_138,6.30866176438741,bonilla-rosso,NA,NA,NA,NA,NA,NA,NA,VC_27_0,NA_bonilla-rosso
rosso_phage_45,busby_phage_138,6.56598490881145,bonilla-rosso,NA,NA,NA,NA,NA,NA,NA,VC_27_0,NA_bonilla-rosso
rosso_phage_47,busby_phage_138,7.38868298464152,bonilla-rosso,NA,NA,NA,NA,NA,NA,NA,VC_27_0,NA_bonilla-rosso
rosso_phage_48,busby_phage_138,6.30866176438741,bonilla-rosso,NA,NA,NA,NA,NA,NA,NA,VC_27_0,NA_bonilla-rosso
rosso_phage_50,busby_phage_138,1.61196273844518,bonilla-rosso,NA,NA,NA,NA,NA,NA,NA,VC_27_0,NA_bonilla-rosso
total_phage_18,busby_phage_138,6.07882986367275,sbardellati,Lactobacillus,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,Rountreeviridae,VC_27_0,Lactobacillus_sbardellati
total_phage_254,busby_phage_138,6.56598490881145,sbardellati,NA,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,Rountreeviridae,VC_27_0,NA_sbardellati
virome_phage_1004,busby_phage_138,6.56598490881145,sbardellati,NA,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,Rountreeviridae,VC_27_0,NA_sbardellati
virome_phage_1006,busby_phage_138,6.56598490881145,sbardellati,NA,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,Rountreeviridae,VC_27_0,NA_sbardellati
virome_phage_1033,busby_phage_138,6.70719348788309,sbardellati,Lactobacillus,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,Rountreeviridae,VC_27_0,Lactobacillus_sbardellati
virome_phage_181,busby_phage_138,6.19068303604136,sbardellati,Lactobacillus,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,Rountreeviridae,VC_27_0,Lactobacillus_sbardellati
virome_phage_183,busby_phage_138,6.30866176438741,sbardellati,Lactobacillus,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,Rountreeviridae,VC_27_0,Lactobacillus_sbardellati
virome_phage_189,busby_phage_138,6.43347992058267,sbardellati,NA,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,Rountreeviridae,VC_27_0,NA_sbardellati
virome_phage_191,busby_phage_138,6.43347992058267,sbardellati,NA,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,Rountreeviridae,VC_27_0,NA_sbardellati
virome_phage_2260,busby_phage_138,6.07882986367275,sbardellati,NA,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,Rountreeviridae,VC_27_0,NA_sbardellati
virome_phage_2522,busby_phage_138,7.59941579297278,sbardellati,NA,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,Rountreeviridae,VC_27_0,NA_sbardellati
virome_phage_993,busby_phage_138,6.07882986367275,sbardellati,Lactobacillus,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,Rountreeviridae,VC_27_0,Lactobacillus_sbardellati
deboutte_phage_413,busby_phage_141,1.06689129012987,deboutte,NA,NA,NA,NA,NA,NA,NA,VC_28_0,NA_deboutte
deboutte_phage_71,busby_phage_141,1.24298254918619,deboutte,NA,NA,NA,NA,NA,NA,NA,VC_28_0,NA_deboutte
busby_phage_163,busby_phage_143,9.92544043537752,busby,NA,NA,NA,NA,NA,NA,NA,VC_22_0,NA_busby
busby_phage_89,busby_phage_143,2.52369120102924,busby,NA,NA,NA,NA,NA,NA,NA,VC_29_0,NA_busby
deboutte_phage_402,busby_phage_143,3.82737439802198,deboutte,NA,NA,NA,NA,NA,NA,NA,VC_30_0,NA_deboutte
deboutte_phage_421,busby_phage_143,4.47230884893228,deboutte,NA,NA,NA,NA,NA,NA,NA,VC_22_0,NA_deboutte
deboutte_phage_92,busby_phage_143,9.21186482300629,deboutte,NA,NA,NA,NA,NA,NA,NA,,NA_deboutte
rosso_phage_22,busby_phage_143,10.9842463901258,bonilla-rosso,NA,NA,NA,NA,NA,NA,NA,,NA_bonilla-rosso
rosso_phage_24,busby_phage_143,10.1900443371566,bonilla-rosso,NA,NA,NA,NA,NA,NA,NA,VC_22_0,NA_bonilla-rosso
rosso_phage_25,busby_phage_143,4.01588115909147,bonilla-rosso,NA,NA,NA,NA,NA,NA,NA,,NA_bonilla-rosso
total_phage_1,busby_phage_143,6.69745689729508,sbardellati,NA,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,,NA_sbardellati
total_phage_113,busby_phage_143,9.54494261231389,sbardellati,NA,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,VC_22_0,NA_sbardellati
total_phage_733,busby_phage_143,9.87518287103926,sbardellati,NA,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,,NA_sbardellati
total_phage_795,busby_phage_143,7.23667182589524,sbardellati,NA,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,VC_22_0,NA_sbardellati
virome_phage_798,busby_phage_143,10.0285268549203,sbardellati,NA,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,VC_22_0,NA_sbardellati
rosso_phage_173,busby_phage_144,2.14666914081182,bonilla-rosso,NA,NA,NA,NA,NA,NA,NA,,NA_bonilla-rosso
rosso_phage_59,busby_phage_144,2.26055824947858,bonilla-rosso,NA,NA,NA,NA,NA,NA,NA,,NA_bonilla-rosso
rosso_phage_63,busby_phage_144,1.41600270682014,bonilla-rosso,NA,NA,NA,NA,NA,NA,NA,VC_33_0,NA_bonilla-rosso
rosso_phage_71,busby_phage_144,1.61703688717587,bonilla-rosso,NA,NA,NA,NA,NA,NA,NA,VC_32_0,NA_bonilla-rosso
virome_phage_193,busby_phage_144,1.47961753085275,sbardellati,Bifidobacterium,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,VC_32_0,Bifidobacterium_sbardellati
busby_phage_28,busby_phage_145,4.66588947978066,busby,NA,NA,NA,NA,NA,NA,NA,VC_25_0,NA_busby
busby_phage_285,busby_phage_145,15.7626752917098,busby,NA,NA,NA,NA,NA,NA,NA,VC_26_0,NA_busby
busby_phage_403,busby_phage_145,6.83389463961557,busby,NA,NA,NA,NA,NA,NA,NA,VC_25_0,NA_busby
busby_phage_443,busby_phage_145,1.4711306768981,busby,NA,NA,NA,NA,NA,NA,NA,,NA_busby
deboutte_phage_136,busby_phage_145,15.1954973024977,deboutte,NA,NA,NA,NA,NA,NA,NA,VC_26_0,NA_deboutte
deboutte_phage_137,busby_phage_145,7.42995575067834,deboutte,NA,NA,NA,NA,NA,NA,NA,VC_33_0,NA_deboutte
deboutte_phage_151,busby_phage_145,19.6024049184144,deboutte,NA,NA,NA,NA,NA,NA,NA,VC_26_0,NA_deboutte
deboutte_phage_469,busby_phage_145,7.60980690677517,deboutte,NA,NA,NA,NA,NA,NA,NA,VC_33_0,NA_deboutte
deboutte_phage_505,busby_phage_145,19.9834804478632,deboutte,NA,NA,NA,NA,NA,NA,NA,VC_26_0,NA_deboutte
rosso_phage_193,busby_phage_145,24.747021238849,bonilla-rosso,NA,NA,NA,NA,NA,NA,NA,,NA_bonilla-rosso
rosso_phage_5,busby_phage_145,7.51869634163522,bonilla-rosso,NA,NA,NA,NA,NA,NA,NA,VC_33_0,NA_bonilla-rosso
rosso_phage_58,busby_phage_145,19.7986780652361,bonilla-rosso,NA,NA,NA,NA,NA,NA,NA,VC_26_0,NA_bonilla-rosso
rosso_phage_59,busby_phage_145,7.10207310905141,bonilla-rosso,NA,NA,NA,NA,NA,NA,NA,,NA_bonilla-rosso
rosso_phage_6,busby_phage_145,7.17680008338312,bonilla-rosso,NA,NA,NA,NA,NA,NA,NA,VC_33_0,NA_bonilla-rosso
rosso_phage_60,busby_phage_145,17.7379670038736,bonilla-rosso,NA,NA,NA,NA,NA,NA,NA,VC_26_0,NA_bonilla-rosso
rosso_phage_61,busby_phage_145,9.71224917789279,bonilla-rosso,NA,NA,NA,NA,NA,NA,NA,VC_33_0,NA_bonilla-rosso
rosso_phage_62,busby_phage_145,13.3527570585678,bonilla-rosso,NA,NA,NA,NA,NA,NA,NA,,NA_bonilla-rosso
rosso_phage_63,busby_phage_145,10.0726578451779,bonilla-rosso,NA,NA,NA,NA,NA,NA,NA,VC_33_0,NA_bonilla-rosso
rosso_phage_64,busby_phage_145,7.51869634163522,bonilla-rosso,NA,NA,NA,NA,NA,NA,NA,VC_33_0,NA_bonilla-rosso
rosso_phage_65,busby_phage_145,9.23442592861599,bonilla-rosso,NA,NA,NA,NA,NA,NA,NA,VC_33_0,NA_bonilla-rosso
rosso_phage_66,busby_phage_145,12.0946640408261,bonilla-rosso,NA,NA,NA,NA,NA,NA,NA,,NA_bonilla-rosso
rosso_phage_67,busby_phage_145,13.9163690566099,bonilla-rosso,NA,NA,NA,NA,NA,NA,NA,,NA_bonilla-rosso
rosso_phage_68,busby_phage_145,13.6551180343126,bonilla-rosso,NA,NA,NA,NA,NA,NA,NA,VC_33_0,NA_bonilla-rosso
rosso_phage_69,busby_phage_145,13.6857991811379,bonilla-rosso,NA,NA,NA,NA,NA,NA,NA,VC_26_0,NA_bonilla-rosso
rosso_phage_70,busby_phage_145,6.16688840453738,bonilla-rosso,NA,NA,NA,NA,NA,NA,NA,,NA_bonilla-rosso
virome_phage_104,busby_phage_145,7.89871039757635,sbardellati,Bifidobacterium,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,VC_33_0,Bifidobacterium_sbardellati
virome_phage_110,busby_phage_145,18.9720934935694,sbardellati,Bifidobacterium,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,VC_26_0,Bifidobacterium_sbardellati
virome_phage_196,busby_phage_145,10.2682929241529,sbardellati,Bifidobacterium,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,VC_33_0,Bifidobacterium_sbardellati
virome_phage_23,busby_phage_145,19.7243946459931,sbardellati,Bifidobacterium,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,VC_26_0,Bifidobacterium_sbardellati
virome_phage_2328,busby_phage_145,19.8537385959976,sbardellati,Bifidobacterium,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,VC_26_0,Bifidobacterium_sbardellati
virome_phage_2330,busby_phage_145,15.6441076111138,sbardellati,Bifidobacterium,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,VC_26_0,Bifidobacterium_sbardellati
virome_phage_862,busby_phage_145,5.32666403069262,sbardellati,Bifidobacterium,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,VC_33_0,Bifidobacterium_sbardellati
virome_phage_900,busby_phage_145,10.9031413332761,sbardellati,NA,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,VC_33_0,NA_sbardellati
virome_phage_97,busby_phage_145,9.70834405635711,sbardellati,NA,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,VC_33_0,NA_sbardellati
busby_phage_230,busby_phage_146,1.3144645922405,busby,NA,NA,NA,NA,NA,NA,NA,,NA_busby
busby_phage_285,busby_phage_146,1.53153423711509,busby,NA,NA,NA,NA,NA,NA,NA,VC_26_0,NA_busby
deboutte_phage_136,busby_phage_146,1.3144645922405,deboutte,NA,NA,NA,NA,NA,NA,NA,VC_26_0,NA_deboutte
deboutte_phage_151,busby_phage_146,1.23350925260783,deboutte,NA,NA,NA,NA,NA,NA,NA,VC_26_0,NA_deboutte
deboutte_phage_434,busby_phage_146,4.51129356466157,deboutte,NA,NA,NA,NA,NA,NA,NA,,NA_deboutte
rosso_phage_60,busby_phage_146,1.39864170853532,bonilla-rosso,NA,NA,NA,NA,NA,NA,NA,VC_26_0,NA_bonilla-rosso
rosso_phage_69,busby_phage_146,1.62499522875673,bonilla-rosso,NA,NA,NA,NA,NA,NA,NA,VC_26_0,NA_bonilla-rosso
rosso_phage_75,busby_phage_146,4.49192872019431,bonilla-rosso,NA,NA,NA,NA,NA,NA,NA,VC_247_0,NA_bonilla-rosso
total_phage_233,busby_phage_146,1.27913179466181,sbardellati,Gilliamella,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,VC_37_1,Gilliamella_sbardellati
total_phage_362,busby_phage_146,3.9335875373689,sbardellati,NA,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,,NA_sbardellati
virome_phage_127,busby_phage_146,4.59508712103013,sbardellati,Gilliamella,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,VC_37_0,Gilliamella_sbardellati
virome_phage_2288,busby_phage_146,12.7714910992152,sbardellati,Gilliamella,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,VC_34_0,Gilliamella_sbardellati
virome_phage_2328,busby_phage_146,1.3144645922405,sbardellati,Bifidobacterium,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,VC_26_0,Bifidobacterium_sbardellati
virome_phage_2330,busby_phage_146,1.48630434369706,sbardellati,Bifidobacterium,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,VC_26_0,Bifidobacterium_sbardellati
virome_phage_858,busby_phage_146,1.27359950520196,sbardellati,Gilliamella,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,,Gilliamella_sbardellati
busby_phage_150,busby_phage_148,3.80413816203235,busby,NA,NA,NA,NA,NA,NA,NA,,NA_busby
busby_phage_243,busby_phage_148,8.28889613927144,busby,NA,NA,NA,NA,NA,NA,NA,,NA_busby
busby_phage_246,busby_phage_148,1.88059108433418,busby,NA,NA,NA,NA,NA,NA,NA,,NA_busby
busby_phage_249,busby_phage_148,4.78229466477137,busby,NA,NA,NA,NA,NA,NA,NA,,NA_busby
busby_phage_250,busby_phage_148,8.60820186790367,busby,NA,NA,NA,NA,NA,NA,NA,,NA_busby
busby_phage_418,busby_phage_148,5.13078514133282,busby,NA,NA,NA,NA,NA,NA,NA,,NA_busby
busby_phage_461,busby_phage_148,7.10207310905141,busby,NA,NA,NA,NA,NA,NA,NA,VC_18_0,NA_busby
busby_phage_469,busby_phage_148,4.17200290940972,busby,NA,NA,NA,NA,NA,NA,NA,,NA_busby
busby_phage_84,busby_phage_148,5.13078514133282,busby,NA,NA,NA,NA,NA,NA,NA,,NA_busby
deboutte_phage_532,busby_phage_148,8.30727734941327,deboutte,NA,NA,NA,NA,NA,NA,NA,,NA_deboutte
rosso_phage_182,busby_phage_148,2.98896195048219,bonilla-rosso,NA,NA,NA,NA,NA,NA,NA,,NA_bonilla-rosso
total_phage_734,busby_phage_148,3.8673884309411,sbardellati,Lactobacillus,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,VC_38_0,Lactobacillus_sbardellati
total_phage_735,busby_phage_148,4.01432565583496,sbardellati,Lactobacillus,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,VC_38_0,Lactobacillus_sbardellati
virome_phage_2298,busby_phage_148,3.79750964743533,sbardellati,Lactobacillus,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,VC_38_0,Lactobacillus_sbardellati
virome_phage_778,busby_phage_148,3.79750964743533,sbardellati,Lactobacillus,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,VC_13_0,Lactobacillus_sbardellati
virome_phage_828,busby_phage_148,6.93923195160344,sbardellati,Lactobacillus,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,VC_38_0,Lactobacillus_sbardellati
virome_phage_839,busby_phage_148,4.57551756619973,sbardellati,Lactobacillus,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,VC_38_0,Lactobacillus_sbardellati
virome_phage_850,busby_phage_148,4.17200290940972,sbardellati,Lactobacillus,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,VC_13_0,Lactobacillus_sbardellati
busby_phage_151,busby_phage_149,4.05267828179509,busby,NA,NA,NA,NA,NA,NA,NA,,NA_busby
busby_phage_152,busby_phage_149,2.50347426255678,busby,NA,NA,NA,NA,NA,NA,NA,,NA_busby
busby_phage_468,busby_phage_149,9.40826240780266,busby,NA,NA,NA,NA,NA,NA,NA,VC_17_0,NA_busby
deboutte_phage_162,busby_phage_149,1.88059108433418,deboutte,NA,NA,NA,NA,NA,NA,NA,,NA_deboutte
deboutte_phage_429,busby_phage_149,11.5392587459743,deboutte,NA,NA,NA,NA,NA,NA,NA,VC_17_0,NA_deboutte
